,page,country,rev_id
651,Wilhelm von Wedell-Piesdorf,Germany,684525811
652,Hans Graf von Schwerin-Löwitz,Germany,684537777
653,Geoff Muntz,Australia,684542057
654,Martiros Sarukhanyan,Armenia,684660655
655,Maria del Pilar Hurtado,Colombia,684804678
656,Giovanni Bovara,Italy,684821806
657,Zvonimir Mršić,Croatia,684859066
658,Julius Muthamia,Kenya,684879320
659,Wilson Callan,Canada,684903534
660,Rod Moores,Canada,684903869
661,Georges Adwan,Lebanon,685116600
662,Muhammad Musa al-Amri,Yemen,685320824
663,Murray Hill Incorporated,United States,685347694
664,Aníbal Diniz,Brazil,685720694
665,Slaheddine Ben Mbarek,Tunisia,686050095
666,Ali Fawzi Rebaine,Algeria,686269631
667,Jochen Ott,Germany,686349441
668,Aleksander Miller,Poland,686375687
669,Sergei Gaidukevich,Belarus,686406513
670,President of Taiwan,Taiwan,686619225
671,Siosifa Tuʻitupou Tuʻutafaiva,Tonga,686777395
673,Qandil Cabinet,Egypt,687093229
674,Ivo Andrić-Lužanski,Bosnia-Herzegovina,687109778
675,Earl Asim Martin,Saint Kitts and Nevis,687127320
676,Raúl Borrás,Argentina,687130572
677,Roque Carranza,Argentina,687134370
678,Germán López (politician),Argentina,687138552
680,Electoral history of Mohammad Khatami,Iran,687159388
681,Electoral history of Mahmoud Ahmadinejad,Iran,687159391
682,Electoral history of Ali Larijani,Iran,687159546
683,Meng Xiangwei,China,687160422
684,House of Theemuge,Maldives,687285060
685,Ata Messan Ajavon Zeus,Togo,687492743
686,John Rogers (Irish lawyer),Ireland,687613810
687,Mustafa Osman Obeid Salim,Sudan,687837173
688,Tito Hoz de Vila,Bolivia,687882717
689,Alexandré Barro Chambrier,Gabon,688145583
690,Md. Moniruzzaman Moni,Bangladesh,688430552
691,Benjamin Green Freeman,Liberia,688501356
692,Han Tha Myint,Myanmar,688524967
693,Willem Buys,Netherlands,688537236
694,Joseph Gustave Ernest Allard,Belgium,688590526
695,Takis Papageorgopoulos,Greece,688695923
696,List of 2010 Canadian incumbents,Canada,688697227
697,Zhu Haowen,China,688763099
698,Abu Samah Mohd Kassim,Malaysia,689248087
699,Stanislaus Okurut,Uganda,689614169
701,Ilmi Hallsten,Finland,689893447
702,Zhao Dezun,China,689932213
703,Mario Occhiuto,Italy,689944992
704,Leszek Deptuła,Poland,689950541
705,Sergei Walter,Ukraine,690074710
706,List of mayors of Radoviš,Macedonia,690088836
707,"Péter Szilágyi (politician, 1981)",Hungary,690152474
708,Harold Collins (Canadian politician),Canada,690205437
